 # Namespace(batch_size=256, data_dir='cifar-data', dataset='MNIST', model='cnn_small', epochs=20, lr_schedule='cyclic', lr_max=0.003, attack='fgsm', eps=10.0, attack_iters=10, pgd_train_n_iters=10, pgd_alpha_train=2.0, fgsm_alpha=1.25, minibatch_replay=1, weight_decay=0.0005, attack_init='zero', fname='plain_cifar10', seed=0, gpu=0, debug=False, half_prec=False, grad_align_cos_lambda=0.0, eval_early_stopped_model=False, eval_iter_freq=50, n_eval_every_k_iter=256, n_layers=1, n_filters_cnn=4, batch_size_eval=256, n_final_eval=1000)
 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
 14,0.0328,0.9922,0.9688,0.9961,0.9844,0.9844,0.001741,0.02,168.35
 14,0.0342,0.9898,0.9805,0.9961,0.9883,0.9883,0.001688,0.03,171.51
 14,0.0373,0.9873,0.9805,0.9961,0.9883,0.9844,0.001635,0.04,174.84
 14,0.0459,0.9849,0.9805,0.9922,0.9883,0.9883,0.001581,0.01,178.05
 14,0.0441,0.9862,0.9805,0.9961,0.9922,0.9922,0.001528,0.01,180.36
 15,0.0346,0.9897,0.9766,0.9961,0.9844,0.9844,0.001474,0.01,182.85
 15,0.0383,0.9876,0.9688,1.0000,0.9922,0.9883,0.001421,0.01,184.96
 15,0.0366,0.9884,0.9844,0.9961,0.9922,0.9922,0.001368,0.02,187.07
 15,0.0348,0.9894,0.9805,0.9922,0.9844,0.9844,0.001314,0.01,189.56
 15,0.0355,0.9883,0.9805,0.9922,0.9844,0.9805,0.001261,0.01,192.55
 16,0.0300,0.9914,0.9844,0.9961,0.9883,0.9844,0.001207,0.02,196.49
 16,0.0284,0.9909,0.9766,0.9922,0.9883,0.9883,0.001154,0.01,199.77
 16,0.0370,0.9885,0.9766,0.9961,0.9844,0.9766,0.001100,0.03,202.96
 16,0.0351,0.9888,0.9805,0.9883,0.9844,0.9805,0.001047,0.01,205.42
 17,0.0233,0.9954,0.9727,0.9922,0.9844,0.9844,0.000994,0.01,207.93
 17,0.0255,0.9930,0.9844,0.9961,0.9883,0.9844,0.000940,0.01,210.06
 17,0.0249,0.9927,0.9805,0.9922,0.9844,0.9805,0.000887,0.02,212.18
 17,0.0227,0.9933,0.9883,0.9961,0.9844,0.9844,0.000833,0.01,214.59
 17,0.0315,0.9902,0.9805,0.9883,0.9883,0.9883,0.000780,0.02,217.82
 18,0.0193,0.9936,0.9805,0.9961,0.9922,0.9883,0.000726,0.01,221.33
 18,0.0216,0.9946,0.9766,0.9961,0.9922,0.9922,0.000673,0.05,224.59
 18,0.0183,0.9950,0.9805,0.9961,0.9883,0.9883,0.000620,0.04,227.70
 18,0.0240,0.9938,0.9805,0.9961,0.9883,0.9844,0.000566,0.01,230.42
 18,0.0261,0.9917,0.9883,0.9961,0.9883,0.9844,0.000513,0.01,232.56
 19,0.0179,0.9964,0.9844,0.9961,0.9844,0.9844,0.000459,0.01,234.98
 19,0.0185,0.9954,0.9883,0.9922,0.9922,0.9844,0.000406,0.01,237.12
 19,0.0175,0.9960,0.9883,0.9922,0.9922,0.9922,0.000353,0.02,239.26
 19,0.0164,0.9954,0.9922,0.9961,0.9883,0.9844,0.000299,0.03,242.28
 20,0.0237,0.9941,0.9883,0.9961,0.9844,0.9844,0.000246,0.01,245.94
 20,0.0141,0.9983,0.9883,0.9922,0.9883,0.9844,0.000192,0.01,249.27
 20,0.0154,0.9969,0.9844,0.9961,0.9844,0.9844,0.000139,0.02,252.76
 20,0.0142,0.9970,0.9922,0.9922,0.9883,0.9883,0.000085,0.01,256.34
 20,0.0134,0.9972,0.9883,0.9961,0.9883,0.9844,0.000032,0.04,259.50
