 # Namespace(batch_size=256, data_dir='cifar-data', dataset='CIFAR10', model='cnn_small', epochs=40, lr_schedule='cyclic', lr_max=0.003, attack='fgsm', eps=10.0, attack_iters=10, pgd_train_n_iters=10, pgd_alpha_train=2.0, fgsm_alpha=1.25, minibatch_replay=1, weight_decay=0.0005, attack_init='zero', fname='plain_cifar10', seed=0, gpu=0, debug=False, half_prec=False, grad_align_cos_lambda=0.0, eval_early_stopped_model=False, eval_iter_freq=50, n_eval_every_k_iter=256, n_layers=1, n_filters_cnn=4, batch_size_eval=256, n_final_eval=1000)
 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
 16,2.0536,0.2305,0.2461,0.3906,0.2500,0.2461,0.002933,0.02,291.02
 16,2.0475,0.2341,0.2305,0.4336,0.2969,0.2812,0.002981,0.02,294.72
 17,2.0450,0.2379,0.2344,0.4062,0.2539,0.2500,0.002981,0.02,300.56
 17,2.0450,0.2362,0.2188,0.3867,0.2578,0.2344,0.002949,0.01,306.42
 17,2.0443,0.2304,0.2266,0.4336,0.2891,0.2852,0.002917,0.01,310.80
 17,2.0451,0.2336,0.1953,0.3984,0.2656,0.2539,0.002885,0.01,314.54
 18,2.0425,0.2355,0.2461,0.4180,0.2695,0.2695,0.002853,0.02,318.43
 18,2.0439,0.2362,0.2305,0.4297,0.2969,0.2773,0.002821,0.01,323.79
 18,2.0447,0.2362,0.2344,0.4336,0.2617,0.2539,0.002788,0.01,329.26
 18,2.0514,0.2313,0.2383,0.4102,0.2695,0.2617,0.002756,0.02,334.88
 19,2.0457,0.2301,0.2461,0.4141,0.2617,0.2617,0.002724,0.02,338.86
 19,2.0471,0.2352,0.2188,0.4219,0.2773,0.2734,0.002692,0.02,342.68
 19,2.0404,0.2409,0.2383,0.4180,0.2695,0.2695,0.002660,0.01,347.36
 19,2.0359,0.2351,0.2617,0.4219,0.2656,0.2578,0.002628,0.01,353.00
 20,2.0401,0.2415,0.2305,0.4062,0.2422,0.2383,0.002596,0.02,359.15
 20,2.0375,0.2414,0.2266,0.4219,0.2578,0.2500,0.002564,0.01,363.19
 20,2.0389,0.2331,0.2266,0.3984,0.2422,0.2188,0.002532,0.01,366.82
 20,2.0420,0.2366,0.2578,0.3945,0.2617,0.2617,0.002500,0.01,370.57
 21,2.0351,0.2367,0.2266,0.4258,0.2656,0.2617,0.002468,0.02,377.21
 21,2.0415,0.2377,0.2344,0.4102,0.2617,0.2539,0.002436,0.01,382.70
 21,2.0423,0.2341,0.2188,0.4141,0.2383,0.2305,0.002404,0.02,386.72
 22,2.0279,0.2453,0.2500,0.3906,0.2617,0.2578,0.002372,0.01,390.60
 22,2.0278,0.2419,0.2422,0.4062,0.2109,0.2070,0.002340,0.03,394.37
 22,2.0381,0.2402,0.2305,0.4258,0.2695,0.2617,0.002308,0.01,400.37
 22,2.0352,0.2388,0.2070,0.4297,0.2539,0.2461,0.002276,0.03,405.69
 23,2.0132,0.2445,0.2148,0.4336,0.2734,0.2617,0.002244,0.02,411.10
 23,2.0338,0.2448,0.2578,0.4258,0.2461,0.2461,0.002212,0.01,414.76
 23,2.0313,0.2402,0.2266,0.4219,0.2422,0.2266,0.002179,0.01,418.51
 23,2.0324,0.2445,0.2383,0.4180,0.2578,0.2500,0.002147,0.02,423.61
 24,2.0271,0.2411,0.2227,0.4414,0.2500,0.2383,0.002115,0.03,429.60
 24,2.0221,0.2464,0.2227,0.4023,0.2422,0.2305,0.002083,0.03,435.22
 24,2.0301,0.2396,0.2188,0.4219,0.2500,0.2500,0.002051,0.01,439.09
 24,2.0298,0.2434,0.2305,0.4102,0.2422,0.2422,0.002019,0.01,442.70
 25,2.0174,0.2432,0.2148,0.4297,0.2695,0.2734,0.001987,0.01,447.82
 25,2.0295,0.2409,0.2148,0.4375,0.2930,0.2773,0.001955,0.02,453.49
 25,2.0336,0.2384,0.2148,0.4531,0.2852,0.2656,0.001923,0.03,458.67
 25,2.0180,0.2462,0.2422,0.4102,0.2617,0.2500,0.001891,0.02,463.16
 26,2.0228,0.2459,0.2500,0.4531,0.2812,0.2852,0.001859,0.02,467.15
 26,2.0284,0.2430,0.2461,0.4141,0.2461,0.2422,0.001827,0.01,470.90
 26,2.0273,0.2414,0.2031,0.4180,0.1992,0.1914,0.001795,0.01,476.38
 26,2.0210,0.2425,0.2188,0.4375,0.2617,0.2500,0.001763,0.01,481.75
 27,2.0195,0.2469,0.2422,0.4727,0.2812,0.2695,0.001731,0.02,487.65
 27,2.0204,0.2423,0.2539,0.4531,0.2461,0.2461,0.001699,0.01,491.38
 27,2.0287,0.2352,0.2422,0.4570,0.2656,0.2578,0.001667,0.01,494.95
 27,2.0151,0.2467,0.2266,0.4531,0.2578,0.2461,0.001635,0.02,499.84
 28,2.0307,0.2461,0.2617,0.4414,0.2773,0.2656,0.001603,0.01,505.94
 28,2.0168,0.2442,0.2305,0.4258,0.2656,0.2578,0.001571,0.02,511.33
 28,2.0166,0.2437,0.2383,0.3984,0.2539,0.2422,0.001538,0.01,515.33
 28,2.0126,0.2458,0.2383,0.4062,0.2539,0.2617,0.001506,0.01,519.05
 29,2.0279,0.2469,0.2539,0.4336,0.2734,0.2695,0.001474,0.01,523.43
 29,2.0154,0.2435,0.2344,0.4258,0.2812,0.2773,0.001442,0.01,529.10
 29,2.0054,0.2504,0.2383,0.4336,0.2695,0.2617,0.001410,0.01,534.76
 29,2.0191,0.2461,0.2461,0.4336,0.2656,0.2461,0.001378,0.01,539.33
 30,2.0140,0.2506,0.2305,0.4375,0.2773,0.2734,0.001346,0.02,543.49
 30,2.0143,0.2501,0.2188,0.4414,0.2930,0.2812,0.001314,0.01,547.24
