 # Namespace(batch_size=256, data_dir='cifar-data', dataset='FashionMNIST', model='cnn_small', epochs=20, lr_schedule='cyclic', lr_max=0.003, attack='none', eps=10.0, attack_iters=10, pgd_train_n_iters=10, pgd_alpha_train=2.0, fgsm_alpha=1.25, minibatch_replay=1, weight_decay=0.0005, attack_init='zero', fname='plain_cifar10', seed=0, gpu=0, debug=False, half_prec=False, grad_align_cos_lambda=0.0, eval_early_stopped_model=False, eval_iter_freq=50, n_eval_every_k_iter=256, n_layers=1, n_filters_cnn=4, batch_size_eval=256, n_final_eval=1000)
 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
 14,0.1676,0.9424,0.3242,0.9062,0.3711,0.2969,0.001741,0.01,170.58
 14,0.1908,0.9301,0.3047,0.8906,0.3242,0.2422,0.001688,0.01,172.62
 14,0.1981,0.9280,0.2812,0.9062,0.3438,0.2266,0.001635,0.01,174.68
 14,0.1900,0.9287,0.3164,0.8984,0.3555,0.2539,0.001581,0.01,176.77
 14,0.2060,0.9248,0.3047,0.9023,0.3711,0.2695,0.001528,0.01,179.31
 15,0.1699,0.9396,0.2891,0.9180,0.3633,0.2578,0.001474,0.02,182.81
 15,0.1695,0.9404,0.2695,0.8906,0.3203,0.2500,0.001421,0.01,185.88
 15,0.1812,0.9325,0.2695,0.9062,0.3555,0.2266,0.001368,0.01,189.19
 15,0.1834,0.9345,0.2852,0.8945,0.3477,0.2461,0.001314,0.01,192.26
 15,0.1837,0.9319,0.2734,0.9023,0.3164,0.2188,0.001261,0.01,194.55
 16,0.1580,0.9430,0.2891,0.9141,0.3047,0.2344,0.001207,0.02,196.88
 16,0.1658,0.9387,0.3086,0.9219,0.3516,0.2422,0.001154,0.02,198.92
 16,0.1708,0.9382,0.2500,0.9062,0.3008,0.2344,0.001100,0.01,201.03
 16,0.1765,0.9345,0.3008,0.9062,0.3555,0.2812,0.001047,0.00,203.30
 17,0.1476,0.9557,0.2695,0.9023,0.3008,0.2266,0.000994,0.00,206.88
 17,0.1604,0.9434,0.2773,0.8945,0.3164,0.2266,0.000940,0.02,210.07
 17,0.1521,0.9440,0.2734,0.9062,0.3320,0.2422,0.000887,0.01,213.19
 17,0.1600,0.9416,0.2695,0.9102,0.3125,0.2305,0.000833,0.02,216.24
 17,0.1611,0.9423,0.2578,0.9141,0.3008,0.2188,0.000780,0.02,218.67
 18,0.1376,0.9506,0.2695,0.8984,0.3398,0.2734,0.000726,0.01,221.04
 18,0.1384,0.9495,0.2500,0.9062,0.3281,0.2188,0.000673,0.02,223.14
 18,0.1513,0.9465,0.2578,0.8984,0.3477,0.2266,0.000620,0.01,225.18
 18,0.1399,0.9511,0.2578,0.9023,0.3281,0.2266,0.000566,0.01,227.22
