 # model:cnn save: tmp dataset:MNIST epoch:10 attack:fgsm eps:0.05
 Epoch, Train loss,Train acc, Time, Time elapsed
 1,58.2925,85.4567,0.06,3.89
 2,17.1828,95.6783,0.09,5.52
 3,11.2946,97.1133,0.12,7.34
 4,8.7505,97.7900,0.15,9.01
 5,7.1448,98.1267,0.18,10.67
 6,6.2841,98.3617,0.21,12.33
 7,5.3593,98.6300,0.23,14.00
 8,4.6771,98.7517,0.26,15.65
 9,4.0800,98.9583,0.29,17.34
 10,3.6329,99.0800,0.32,19.00
