 Epoch, Train loss,Train acc, Learning Rate, Time, Time elapsed
 1, 0.2328,0.9301,0.0025,4.01,4.01
 2, 0.0773,0.9757,0.0037,2.56,6.57
 3, 0.0609,0.9817,0.0050,2.54,9.11
 4, 0.0503,0.9845,0.0042,2.54,11.64
 5, 0.0322,0.9903,0.0033,2.56,14.21
 6, 0.0191,0.9939,0.0025,2.58,16.79
 7, 0.0106,0.9967,0.0017,2.57,19.35
 8, 0.0029,0.9991,0.0008,2.60,21.95
 9, 0.0007,0.9999,0.0000,2.59,24.54
 10, 0.0003,1.0000,0.0000,2.52,27.06
