 Name,Accuracy
 0,87.58
 1,87.4
 2,87.21
 3,87.07000000000001
 4,86.9
 5,86.53
 6,85.82
 7,84.53
 8,83.46000000000001
 9,82.13000000000001
 10,80.46
 11,79.03
 12,76.97
 13,74.25
 14,71.41
 15,68.45
 16,65.35
 17,61.59
 18,57.78
 19,53.06999999999999
 20,48.36
 21,44.13
 22,39.83
 23,36.230000000000004
 24,33.07
 25,29.880000000000003
 26,27.21
 27,24.67
 28,22.6
 29,20.580000000000002
 30,18.509999999999998
 31,16.49
 32,14.82
 33,13.41
 34,12.21
 35,10.99
 36,10.09
 37,9.07
 38,8.39
 39,7.59
